FNR;Benennung deutsch;Benennung english;Code;"Sachnummer
SNR";TypID;MY;MBR;FBR;FBM;Model Name;COP Typ-Bezeichnung
0360;Ansaugluftdrosselung elektr.;Intake air throttle electric; ;P 642 090 02 70;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0364;Oeleinfuellrohr;Oil filler pipe;;P 642 010 81 07;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0366;Reinluftleitung;Clean air line;;P 906 528 23 24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0431;Steuergeraet GZE (Gluehzeitendstufe);Glow-time control modul ; ;P 642 900 13 02;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0432;Hochdruckpumpe;High-pressure pump; ;P 642 070 11 01;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0433;Injektor;Fuel injector; ;P 642 070 12 87;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0433;Injektor;Fuel injector;;P 642 070 12 87;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0516;Ladeluftkuehler ;Charge air cooler; ;P 907 501 17 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0525;Turbolader, VTG;Turbocharger, VNT; ;P 642 090 12 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0529;Ladeluftleitung ;Charge air line;;P 642 090 05 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0529;Ladeluftleitung ;Charge air line;;P 642 090 59 37;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0769;Kraftstoff-Druckregelventil;Fuel pressure regulator; ;P 642 070 02 46;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0770;Kraftstoffverteiler (Hochdruck);Fuel rail (high pressure); ;P 642 070 27 95;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0770;Kraftstoffverteiler (Hochdruck);Fuel rail (high pressure); ;P 642 070 30 95;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0791;Kraftstoffdrucksensor (Niederdruck);Low pressure fuel sensor; ;P 004 542 16 18;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0801;Abgasrueckfuehrventil (Hochdruck-AGR);Exhaust gas recirculation valve (high pressure); ;P 642 140 14 60;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0813;Abgaswaermeaustauscher (Hochdruck-AGR);Exhaust gas recirculation cooler (high pressure); ;P 642 140 21 75;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
0818;Bypassklappe (Hochdruck-AGR);Bypass flap (high pressure EGR);;P 642 140 03 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1001;Auspuffkruemmer;Exhaust manifold; ;P 642 140 09 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1001;Auspuffkruemmer;Exhaust manifold; ;P 642 140 08 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1005;Oxidations-Katalysator;Oxidation catalyst; ;P 205 491 16 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1012;Drucksensor (Abgasgegendruck) ;Sensor (exhaust back pressure) 1; ;P 000 905 27 06;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1013;Partikelfilter;Particulate filter; ;P 906 491 14 94;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1029;Drucksensor (PF-Differenzdruck);Sensor (exhaust differential-pressure); ;P 000 905 65 03;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1041;SCR Katalysator;SCR catalyst; ;P 906 490 26 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1101;Lambdasonde ;Primary O2 sensor; ;P 006 542 49 18;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1107;NOX-Sensor ;NOX sensor 1; ;P 000 905 30 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1114;PM-Sensor;Particulate matter sensor;;P 000 905 06 08;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1114;PM-Sensor;Particulate matter sensor;;P 000 905 02 14;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1115;NOX-Sensor ;NOX sensor 2; ;P 000 905 30 09;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1233;Kraftstoffdruckregelventil;Fuel-pressure regulator; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1234;Ueberdruckventil;Pressure relief valve;;P 910 470 00 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1235;Schwimmerventil ;Floating valve; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1236;Schwimmerventil (Roll-over);Roll-over valve; ;P 000 490 02 00;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1263;Qualitaetssensor SCR;Quality sensor SCR; ;incl. in 12.24;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1504;Thermostat (Kuehlwasser);Engine thermostat;;P 642 200 20 15;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1633;Steuereinheit elektrohydraulisch;Electrohydraulic Control Unit;A98+35A;P 231 270 38 01;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
1634;Schaltplatte;Gearshift plate;A98;P 212 270 00 57;332-22;22;300;333;987654;Sprinter 4500 / Freightliner 4500 (5.5t HD);987654 Sprinter 4500 / Freightliner 4500 (5.5t HD) 300 333 MY22
